case_id,Skill / topic,Attempt 1,Attempt 2,Attempt 3,Attempt 4,Attempt 5,Attempt 6,Next question - type,Next question - difficulty,Next question - answer type,Question,Option A,Option B
CASE_01,Solve Unit Rate Problems,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),medium,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_12,Solve Problems Involving Percents,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),medium,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_13,Solve Problems Involving Area & Circumference of Circles,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),hard,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_14,Solve 2-Step Equations,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Multiple Choice (select all),hard,Check All That Apply,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_15,"Find the Area of Triangles, Quadrilaterals & Polygons",Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),very_hard,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_16,"Find the Area of Triangles, Quadrilaterals & Polygons",Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: very_hard | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_17,Solve 2-Step Equations,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_18,Apply the Pythagorean Theorem to 2D & 3D FIgures,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: hard | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: hard | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),hard,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_19,Solve Unit Rate Problems,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),very_hard,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_20,Know & Use Volume Formulas,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),very_hard,Algebraic Expression,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_21,Evaluate Square & Cube Roots,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),hard,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_22,Identify Proportional Relationships,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),very_easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_23,Write & Solve 1-Step Equations,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_24,Interpret & Compute using Division of Fractions,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Multiple Choice (select all),very_hard,Check All That Apply,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
