case_id,hidden_pattern_category,zpd_action,zpd_decision,current_independence_estimate,current_zpd_score,Skill / topic,Next question - type,Next question - difficulty,Next question - answer type,Attempt 1,Attempt 2,Attempt 3,Attempt 4,Attempt 5,Attempt 6
CASE_01,declining,1,Provide scaffold,0.6580424308776855,0.8101626564693185,Solve Unit Rate Problems,Fill-in-the-blank(s),medium,Numeric,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_12,improving,1,Provide scaffold,0.6780003905296326,0.7625890424262279,Solve Problems Involving Percents,Fill-in-the-blank(s),medium,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_13,support_mixed,1,Provide scaffold,0.5875019431114197,0.9396852535524843,Solve Problems Involving Area & Circumference of Circles,Fill-in-the-blank(s),hard,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_14,support_mixed,0,Allow independent attempt,0.18028709292411804,0.3494401486528415,Solve 2-Step Equations,Multiple Choice (select all),hard,Check All That Apply,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_15,declining,0,Allow independent attempt,0.7875537872314453,0.44789727283079,"Find the Area of Triangles, Quadrilaterals & Polygons",Fill-in-the-blank(s),very_hard,Numeric,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_16,mixed_noisy,0,Allow independent attempt,0.7767128348350525,0.48124747745670854,"Find the Area of Triangles, Quadrilaterals & Polygons",Fill-in-the-blank(s),easy,Numeric,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: very_hard | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: No independent first-try success | Support used: Yes
CASE_17,improving,0,Allow independent attempt,0.8380324244499207,0.29477984766422166,Solve 2-Step Equations,Fill-in-the-blank(s),easy,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_18,support_mixed,1,Provide scaffold,0.5999539494514465,0.9216707187125559,Apply the Pythagorean Theorem to 2D & 3D FIgures,Fill-in-the-blank(s),hard,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: hard | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: hard | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No
CASE_19,mixed_noisy,1,Provide scaffold,0.26524215936660767,0.6077060370722668,Solve Unit Rate Problems,Fill-in-the-blank(s),very_hard,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_20,consistently_struggling,0,Allow independent attempt,0.13807065784931183,0.2266032329319846,Know & Use Volume Formulas,Fill-in-the-blank(s),very_hard,Algebraic Expression,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_21,consistently_strong,1,Provide scaffold,0.7459357380867004,0.5746586795054496,Evaluate Square & Cube Roots,Fill-in-the-blank(s),hard,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_22,consistently_struggling,1,Provide scaffold,0.3553408980369568,0.8395964846499917,Identify Proportional Relationships,Fill-in-the-blank(s),very_easy,Numeric,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_23,declining,1,Provide scaffold,0.5536478161811829,0.9771078288171628,Write & Solve 1-Step Equations,Fill-in-the-blank(s),easy,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_24,mixed_noisy,1,Provide scaffold,0.39761075377464294,0.9178900177863034,Interpret & Compute using Division of Fractions,Multiple Choice (select all),very_hard,Check All That Apply,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No
